,Store,Algorithm,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,Naive FCST RMSE,R-squared
0,1,Random Forest Regressor,97809.27741454546,17145259154.580736,130939.90665408592,201304.6039720109,-0.028720028137587672
1,2,Random Forest Regressor,114869.11258111156,34296280386.365776,185192.54948935116,295436.44385854725,0.632284620549564
2,3,Random Forest Regressor,25333.67496111111,1369108269.4517193,37001.46307177217,57239.87851933867,0.48220518889323183
3,4,Random Forest Regressor,132482.3366866662,36688697980.09862,191542.94030346986,312168.5793158671,0.6443093697798733
4,5,Random Forest Regressor,23604.981380000136,1004234129.7410169,31689.653354699494,48622.481876627455,0.5216854298525634
5,6,Random Forest Regressor,108641.32336555544,21759021556.2841,147509.39480685323,263289.21962110896,0.6554353844272709
6,7,Random Forest Regressor,63506.87236777773,8111348308.74049,90063.0240928012,118261.76878397215,0.5449892126439732
7,8,Random Forest Regressor,56800.85201111135,6214388010.006566,78831.38975057186,135718.23532696196,0.6455955373499737
8,9,Random Forest Regressor,43087.76079444419,3393399101.941708,58252.88921540036,86041.61464247166,0.4878099524680055
9,10,Random Forest Regressor,147961.75738888988,56646692172.52843,238005.65575743874,365561.4813469407,0.6237191601760806
10,11,Random Forest Regressor,86569.29338555521,15107206214.065403,122911.37544615389,203098.9854656108,0.6390232279183119
11,12,Random Forest Regressor,68388.54440666636,9602807151.779057,97993.91385070328,174420.02127223005,0.6919737374568437
12,13,Random Forest Regressor,140512.90457777842,41963412445.37544,204849.7313773573,328372.419723399,0.6184698262167914
13,14,Random Forest Regressor,169849.9396144442,60218987745.75877,245395.57401420013,376285.89613270795,0.5908640417540467
14,15,Random Forest Regressor,58357.18817111118,9529399288.231104,97618.64211425553,148383.3219661863,0.6079191665009076
15,16,Random Forest Regressor,48772.26945555575,5089558306.701545,71341.14035184428,99292.51846298517,0.5277196620424556
16,17,Random Forest Regressor,77499.7199144445,10744684336.006233,103656.56918886633,143348.18263935033,0.21893470890200983
17,18,Random Forest Regressor,92251.87015444455,19067696570.114468,138085.83044655403,220394.7116490671,0.5648037389929302
18,19,Random Forest Regressor,99728.328915555,24110982598.953407,155277.11550306893,237213.18695728725,0.6052180852846986
19,20,Random Forest Regressor,143635.92702222115,53120922556.479164,230479.76604569686,350476.867021271,0.5616866400792668
20,21,Random Forest Regressor,62208.480857777344,10859489791.458649,104208.87578061021,155652.87959371984,0.610725817329192
21,22,Random Forest Regressor,78625.48454222182,17117286778.928976,130833.0492609913,207464.31790896563,0.567626306650864
22,23,Random Forest Regressor,151158.85725222196,48085733704.66682,219284.5952288186,308916.1105790044,0.4588957327014693
23,24,Random Forest Regressor,86319.75060777775,16778476108.660069,129531.75714341279,212339.34969452996,0.62083825952835
24,25,Random Forest Regressor,59235.90720777779,7180789750.707233,84739.54065669245,144039.38606739318,0.6178325294150699
25,26,Random Forest Regressor,65717.03653555598,7756711318.50796,88072.19378730134,137326.84035495223,0.5263124253895473
26,27,Random Forest Regressor,121474.78938777691,34293252634.711624,185184.37470454042,295742.16415058944,0.5801350098191755
27,28,Random Forest Regressor,108369.94021444443,21193653079.702198,145580.40074028578,239780.78590908565,0.5379728050382389
28,29,Random Forest Regressor,45662.82339555569,5223421596.760186,72273.24260582325,128892.3133822009,0.6601305269248177
29,30,Random Forest Regressor,19508.17905666669,752835473.877264,27437.84747164515,26823.377032921737,-0.11684459256400026
30,31,Random Forest Regressor,76053.21721000076,11435371324.74186,106936.29563783224,158181.02756508472,0.5696018919309771
31,32,Random Forest Regressor,73323.8634166664,11006375092.046373,104911.27247367831,172688.22525645283,0.6264799695367242
32,33,Random Forest Regressor,19613.84198777768,747590434.3534956,27342.10003554035,29888.556397106007,-0.1640106520777731
33,34,Random Forest Regressor,51126.4533855564,5752362226.802889,75844.32890337212,131358.79548913948,0.6753852797594035
34,35,Random Forest Regressor,117978.02600888895,28287338351.82694,168188.40135938904,230276.36294398856,0.5776035338440647
35,36,Random Forest Regressor,30121.58491444457,1644678881.832116,40554.640694156275,37924.874188257665,0.5211424728279143
36,37,Random Forest Regressor,17659.84792111125,602867579.2108711,24553.361871867386,30561.859905910434,-0.022087275859529854
37,38,Random Forest Regressor,26768.555922222113,1208561611.641834,34764.37273476733,35378.78229311479,-0.0069133661172857686
38,39,Random Forest Regressor,143848.70443555526,40426767171.110596,201064.08722372723,254031.80029427732,0.4416620971931223
39,40,Random Forest Regressor,66179.53292111125,8510216716.927148,92250.83586031699,156889.3283043736,0.5770138815444807
40,41,Random Forest Regressor,101828.03569222198,21908952017.29307,148016.72884269897,228385.42455890207,0.5613707708328176
41,42,Random Forest Regressor,34567.9933744444,2236357449.468312,47290.1411445167,63157.65544951283,0.052424754718696565
42,43,Random Forest Regressor,38420.430968889035,2400777339.5428863,48997.72790184139,52846.42635264219,-0.2242215935593732
43,44,Random Forest Regressor,16942.330255555557,807075932.7627523,28409.08187116846,23792.76033580793,-0.20012561461521972
44,45,Random Forest Regressor,64333.33547000008,11317551221.839348,106383.98009963412,165388.71645783013,0.6241905856428955
