,index_id,Rev_Date,Date,Store,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Month,Year,Week,sales_diff
8,1-2010-02-04,2010-02-04,2010-02-04,1,1594968.28,0,62.27,2.719,210.8204499,7.808,2,2010,5,
21,1-2010-02-07,2010-02-07,2010-02-07,1,1492418.14,0,80.91,2.669,211.2235333,7.787,2,2010,5,-102550.14000000013
2,1-2010-02-19,2010-02-19,2010-02-19,1,1611968.17,0,39.93,2.514,211.2891429,8.106,2,2010,7,119550.03000000003
3,1-2010-02-26,2010-02-26,2010-02-26,1,1409727.59,0,46.63,2.561,211.3196429,8.106,2,2010,8,-202240.57999999984
30,1-2010-03-09,2010-03-09,2010-03-09,1,1540163.53,0,81.21,2.577,211.5312479,7.787,3,2010,10,130435.93999999994
43,1-2010-03-12,2010-03-12,2010-03-12,1,1548033.78,0,49.27,2.708,211.607193,7.838,3,2010,10,7870.25
6,1-2010-03-19,2010-03-19,2010-03-19,1,1472515.79,0,54.58,2.72,211.215635,8.106,3,2010,11,-75517.98999999999
7,1-2010-03-26,2010-03-26,2010-03-26,1,1404429.92,0,51.45,2.732,211.0180424,8.106,3,2010,12,-68085.87000000011
17,1-2010-04-06,2010-04-06,2010-04-06,1,1615524.71,0,80.69,2.705,211.1764278,7.808,4,2010,14,211094.79000000004
10,1-2010-04-16,2010-04-16,2010-04-16,1,1466058.28,0,66.32,2.808,210.4887,7.808,4,2010,15,-149466.42999999993
11,1-2010-04-23,2010-04-23,2010-04-23,1,1391256.12,0,64.84,2.795,210.4391228,7.808,4,2010,16,-74802.15999999992
12,1-2010-04-30,2010-04-30,2010-04-30,1,1425100.71,0,67.41,2.78,210.3895456,7.808,4,2010,17,33844.58999999985
0,1-2010-05-02,2010-05-02,2010-05-02,1,1643690.9,0,42.31,2.572,211.0963582,8.106,5,2010,17,218590.18999999994
4,1-2010-05-03,2010-05-03,2010-05-03,1,1554806.68,0,46.5,2.625,211.3501429,8.106,5,2010,18,-88884.21999999997
39,1-2010-05-11,2010-05-11,2010-05-11,1,1551659.28,0,58.74,2.689,211.9563939,7.838,5,2010,19,-3147.399999999907
14,1-2010-05-14,2010-05-14,2010-05-14,1,1494251.5,0,74.78,2.854,210.3374261,7.808,5,2010,19,-57407.78000000003
