,Store,Algorithm,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,Naive FCST RMSE
0,1,Linear Regression,111645.96609964444,22940221579.348408,151460.29703968103,201304.6039720109
1,2,Linear Regression,239712.43205293908,133475510679.83095,365343.0041479253,295436.44385854725
2,3,Linear Regression,42370.53078438337,3808534415.07316,61713.32445325855,57239.87851933867
3,4,Linear Regression,231345.52838327212,150135247968.48077,387472.89965684153,312168.5793158671
4,5,Linear Regression,37627.495161920175,2785636369.302913,52779.12815974619,48622.481876627455
5,6,Linear Regression,218896.26105845775,109740742347.88078,331271.40285252634,263289.21962110896
6,7,Linear Regression,82005.79027440763,15335527149.367876,123836.69548792021,118261.76878397215
7,8,Linear Regression,104574.59416265578,23827381907.033073,154361.20596520705,135718.23532696196
8,9,Linear Regression,70458.71258107403,10838548552.363562,104108.35006071109,86041.61464247166
9,10,Linear Regression,272482.17979126365,192433426969.353,438672.34579963324,365561.4813469407
10,11,Linear Regression,151951.8387877936,56814347560.03483,238357.60436796394,203098.9854656108
11,12,Linear Regression,128939.35884752747,43767567556.86037,209206.99691181545,174420.02127223005
12,13,Linear Regression,247339.06092156755,180701493784.96985,425089.98316235334,328372.419723399
13,14,Linear Regression,295487.32425687014,219777179929.54456,468803.9888157358,376285.89613270795
14,15,Linear Regression,122879.61480913883,34882507321.02487,186768.59297276102,148383.3219661863
15,16,Linear Regression,72460.69029822104,12638678606.724213,112421.87779397839,99292.51846298517
16,17,Linear Regression,96475.98751164337,24337912598.16768,156006.13000189344,143348.18263935033
17,18,Linear Regression,163567.926302502,60027091671.22714,245004.2686796031,220394.7116490671
18,19,Linear Regression,177463.1206689596,75370425698.45251,274536.74744640745,237213.18695728725
19,20,Linear Regression,267160.22298279987,161031635701.24405,401287.4726442928,350476.867021271
20,21,Linear Regression,126953.92093308776,43787492388.55509,209254.61139137435,155652.87959371984
21,22,Linear Regression,152594.44829368894,60215267341.86261,245387.99347535855,207464.31790896563
22,23,Linear Regression,237019.2895621737,163128402867.62677,403891.5731574834,308916.1105790044
23,24,Linear Regression,150844.14995877794,52346399018.800385,228793.35440261455,212339.34969452996
24,25,Linear Regression,108125.08910439989,31413099656.064934,177237.41043037424,144039.38606739318
25,26,Linear Regression,96988.38897761806,20577496061.848183,143448.58333858923,137326.84035495223
26,27,Linear Regression,228248.00001598476,131986583052.74677,363299.5775565212,295742.16415058944
27,28,Linear Regression,145375.3291132915,40534853580.502144,201332.6937695469,239780.78590908565
28,29,Linear Regression,96356.74349742288,21754196181.19573,147493.03773804283,128892.3133822009
29,30,Linear Regression,18211.27171437062,711193273.6149447,26668.207169117024,26823.377032921737
30,31,Linear Regression,114000.7767523495,31122415690.716995,176415.4632981956,158181.02756508472
31,32,Linear Regression,140815.01041386218,56429761600.12551,237549.4929485759,172688.22525645283
32,33,Linear Regression,19298.900578900804,606974317.8001328,24636.84877982841,29888.556397106007
33,34,Linear Regression,101271.94451181895,28931411877.2472,170092.36278342188,131358.79548913948
34,35,Linear Regression,167919.55794835358,66449534579.36262,257778.0723400705,230276.36294398856
35,36,Linear Regression,16490.724955566362,470983716.37450755,21702.159256039653,37924.874188257665
36,37,Linear Regression,17226.05431519963,737320149.5815622,27153.639711492862,30561.859905910434
37,38,Linear Regression,18766.564941343022,543811115.0093557,23319.758039254088,35378.78229311479
38,39,Linear Regression,185265.50375330364,89550422298.29938,299249.7657447694,254031.80029427732
39,40,Linear Regression,111660.57551142221,27848433571.937477,166878.49942978716,156889.3283043736
40,41,Linear Regression,166520.66151322745,73209132234.71481,270571.8614984101,228385.42455890207
41,42,Linear Regression,27896.08129936001,1568638059.2785177,39606.035642039686,63157.65544951283
42,43,Linear Regression,33491.37171329541,1841093473.3788004,42907.9651507596,52846.42635264219
43,44,Linear Regression,13863.77708541408,423138972.74726176,20570.342066851044,23792.76033580793
44,45,Linear Regression,131638.17467847682,47803612504.96265,218640.37254121812,165388.71645783013
