index,index_id,Rev_Date,Date,Store, Weekly_Sales ,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Month,Year,Week,sales_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12, Linear Regression , Random Forest Regressor ,Linear_Regression_Root Mean Squared Error,Linear_Regression_R-squared,RF_Root Mean Squared Error,RF_R-squared
0,1-2010-05-02,5/2/2010,5/2/2010,1,"$1,643,690.90 ",0,42.31,2.572,211.0963582,8.106,5,2010,17,218590.19,33844.59,-74802.16,-149466.43,211094.79,-68085.87,-75517.99,7870.25,130435.94,-202240.58,119550.03,-102550.14,141638.78,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
1,1-2010-05-03,5/3/2010,5/3/2010,1,"$1,554,806.68 ",0,46.5,2.625,211.3501429,8.106,5,2010,18,-88884.22,218590.19,33844.59,-74802.16,-149466.43,211094.79,-68085.87,-75517.99,7870.25,130435.94,-202240.58,119550.03,-102550.14,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
2,1-2010-05-11,5/11/2010,5/11/2010,1,"$1,551,659.28 ",0,58.74,2.689,211.9563939,7.838,5,2010,19,-3147.4,-88884.22,218590.19,33844.59,-74802.16,-149466.43,211094.79,-68085.87,-75517.99,7870.25,130435.94,-202240.58,119550.03,1570942.65 ,1439697.56 ,38654.71 ,0.96 ,99265.35 ,0.72 
3,1-2010-05-14,5/14/2010,5/14/2010,1,"$1,494,251.50 ",0,74.78,2.854,210.3374261,7.808,5,2010,19,-57407.78,-3147.4,-88884.22,218590.19,33844.59,-74802.16,-149466.43,211094.79,-68085.87,-75517.99,7870.25,130435.94,-202240.58,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
4,1-2010-05-21,5/21/2010,5/21/2010,1,"$1,399,662.07 ",0,76.44,2.826,210.6170934,7.808,5,2010,20,-94589.43,-57407.78,-3147.4,-88884.22,218590.19,33844.59,-74802.16,-149466.43,211094.79,-68085.87,-75517.99,7870.25,130435.94,1415219.09 ,1437591.76 ,38654.71 ,0.96 ,99265.35 ,0.72 
5,1-2010-05-28,5/28/2010,5/28/2010,1,"$1,432,069.95 ",0,80.44,2.759,210.8967606,7.808,5,2010,21,32407.88,-94589.43,-57407.78,-3147.4,-88884.22,218590.19,33844.59,-74802.16,-149466.43,211094.79,-68085.87,-75517.99,7870.25,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
6,1-2010-06-08,6/8/2010,6/8/2010,1,"$1,605,491.78 ",0,87.16,2.627,211.5046621,7.787,6,2010,23,173421.83,32407.88,-94589.43,-57407.78,-3147.4,-88884.22,218590.19,33844.59,-74802.16,-149466.43,211094.79,-68085.87,-75517.99,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
7,1-2010-06-18,6/18/2010,6/18/2010,1,"$1,503,284.06 ",0,84.11,2.637,211.4537719,7.808,6,2010,24,-102207.72,173421.83,32407.88,-94589.43,-57407.78,-3147.4,-88884.22,218590.19,33844.59,-74802.16,-149466.43,211094.79,-68085.87,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
8,1-2010-06-25,6/25/2010,6/25/2010,1,"$1,422,711.60 ",0,84.34,2.653,211.3386526,7.808,6,2010,25,-80572.46,-102207.72,173421.83,32407.88,-94589.43,-57407.78,-3147.4,-88884.22,218590.19,33844.59,-74802.16,-149466.43,211094.79,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
9,1-2010-07-05,7/5/2010,7/5/2010,1,"$1,603,955.12 ",0,72.55,2.835,210.3399684,7.808,7,2010,27,181243.52,-80572.46,-102207.72,173421.83,32407.88,-94589.43,-57407.78,-3147.4,-88884.22,218590.19,33844.59,-74802.16,-149466.43,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
10,1-2010-07-16,7/16/2010,7/16/2010,1,"$1,448,938.92 ",0,83.15,2.623,211.1003854,7.787,7,2010,28,-155016.2,181243.52,-80572.46,-102207.72,173421.83,32407.88,-94589.43,-57407.78,-3147.4,-88884.22,218590.19,33844.59,-74802.16,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
11,1-2010-07-23,7/23/2010,7/23/2010,1,"$1,385,065.20 ",0,83.36,2.608,211.2351443,7.787,7,2010,29,-63873.72,-155016.2,181243.52,-80572.46,-102207.72,173421.83,32407.88,-94589.43,-57407.78,-3147.4,-88884.22,218590.19,33844.59,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
12,1-2010-07-30,7/30/2010,7/30/2010,1,"$1,371,986.60 ",0,81.84,2.64,211.3699032,7.787,7,2010,30,-13078.6,-63873.72,-155016.2,181243.52,-80572.46,-102207.72,173421.83,32407.88,-94589.43,-57407.78,-3147.4,-88884.22,218590.19,1379988.66 ,1419404.81 ,38654.71 ,0.96 ,99265.35 ,0.72 
13,1-2010-08-10,8/10/2010,8/10/2010,1,"$1,508,239.93 ",0,63.93,2.633,211.7467544,7.838,8,2010,32,136253.33,-13078.6,-63873.72,-155016.2,181243.52,-80572.46,-102207.72,173421.83,32407.88,-94589.43,-57407.78,-3147.4,-88884.22,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
14,1-2010-08-13,8/13/2010,8/13/2010,1,"$1,508,237.76 ",0,87,2.692,211.6394211,7.787,8,2010,32,-2.17,136253.33,-13078.6,-63873.72,-155016.2,181243.52,-80572.46,-102207.72,173421.83,32407.88,-94589.43,-57407.78,-3147.4,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
15,1-2010-08-20,8/20/2010,8/20/2010,1,"$1,513,080.49 ",0,86.65,2.664,211.6033633,7.787,8,2010,33,4842.73,-2.17,136253.33,-13078.6,-63873.72,-155016.2,181243.52,-80572.46,-102207.72,173421.83,32407.88,-94589.43,-57407.78,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
16,1-2010-08-27,8/27/2010,8/27/2010,1,"$1,449,142.92 ",0,85.22,2.619,211.5673056,7.787,8,2010,34,-63937.57,4842.73,-2.17,136253.33,-13078.6,-63873.72,-155016.2,181243.52,-80572.46,-102207.72,173421.83,32407.88,-94589.43,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
17,1-2010-09-04,9/4/2010,9/4/2010,1,"$1,545,418.53 ",0,65.86,2.77,210.6228574,7.808,9,2010,35,96275.61,-63937.57,4842.73,-2.17,136253.33,-13078.6,-63873.72,-155016.2,181243.52,-80572.46,-102207.72,173421.83,32407.88,1547288.09 ,1594327.70 ,38654.71 ,0.96 ,99265.35 ,0.72 
18,1-2010-09-07,9/7/2010,9/7/2010,1,"$1,546,074.18 ",0,80.48,2.642,211.108414,7.787,9,2010,36,655.65,96275.61,-63937.57,4842.73,-2.17,136253.33,-13078.6,-63873.72,-155016.2,181243.52,-80572.46,-102207.72,173421.83,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
19,1-2010-09-17,9/17/2010,9/17/2010,1,"$1,430,378.67 ",0,82.11,2.582,211.5224596,7.787,9,2010,37,-115695.51,655.65,96275.61,-63937.57,4842.73,-2.17,136253.33,-13078.6,-63873.72,-155016.2,181243.52,-80572.46,-102207.72,0.00 ,0.00 ,38654.71 ,0.96 ,99265.35 ,0.72 
